高度_km,马赫数,静态温度_K,静态温度_C,静态压力_Pa,静态压力_kPa,静态压力_atm,密度_kg_m3,声速_m_s,飞行速度_m_s,飞行速度_km_h,总温_K,总温_C,总压_Pa,总压_kPa,总压_atm,动压_Pa,动压_kPa,动力粘度_Pa_s,运动粘度_m2_s,雷诺数_m
0.0,0.1,288.15,15.0,101325.0,101.325,1.0,1.225004,340.2935,34.0293,122.5057,288.7263,15.5763,102036.05,102.036,1.007018,709.27,0.7093,1.789e-05,1.46065e-05,2329745.3
0.0,0.3,288.15,15.0,101325.0,101.325,1.0,1.225004,340.2935,102.088,367.517,293.3367,20.1867,107853.4,107.8534,1.06443,6383.47,6.3835,1.789e-05,1.46065e-05,6989235.9
0.0,0.5,288.15,15.0,101325.0,101.325,1.0,1.225004,340.2935,170.1467,612.5283,302.5575,29.4075,120193.0,120.193,1.186213,17731.87,17.7319,1.789e-05,1.46065e-05,11648726.49
0.0,0.7,288.15,15.0,101325.0,101.325,1.0,1.225004,340.2935,238.2054,857.5396,316.3887,43.2387,140548.04,140.548,1.387101,34754.47,34.7545,1.789e-05,1.46065e-05,16308217.09
0.0,0.85,288.15,15.0,101325.0,101.325,1.0,1.225004,340.2935,289.2495,1041.298,329.7877,56.6377,162506.94,162.5069,1.603819,51245.12,51.2451,1.789e-05,1.46065e-05,19802835.04
0.0,0.95,288.15,15.0,101325.0,101.325,1.0,1.225004,340.2935,323.2788,1163.8037,340.1611,67.0111,181112.15,181.1121,1.787438,64012.07,64.0121,1.789e-05,1.46065e-05,22132580.34
0.0,1.0,288.15,15.0,101325.0,101.325,1.0,1.225004,340.2935,340.2935,1225.0565,345.78,72.63,191801.05,191.801,1.892929,70927.5,70.9275,1.789e-05,1.46065e-05,23297452.99
0.0,1.2,288.15,15.0,101325.0,101.325,1.0,1.225004,340.2935,408.3522,1470.0678,371.1372,97.9872,245709.6,245.7096,2.424965,102135.6,102.1356,1.789e-05,1.46065e-05,27956943.58
0.0,1.5,288.15,15.0,101325.0,101.325,1.0,1.225004,340.2935,510.4402,1837.5848,417.8175,144.6675,371967.18,371.9672,3.671031,159586.87,159.5869,1.789e-05,1.46065e-05,34946179.48
0.0,2.0,288.15,15.0,101325.0,101.325,1.0,1.225004,340.2935,680.5869,2450.113,518.67,245.52,792812.3,792.8123,7.824449,283710.0,283.71,1.789e-05,1.46065e-05,46594905.97
0.0,2.5,288.15,15.0,101325.0,101.325,1.0,1.225004,340.2935,850.7337,3062.6413,648.3375,375.1875,1731232.62,1731.2326,17.085938,443296.87,443.2969,1.789e-05,1.46065e-05,58243632.47
0.0,3.0,288.15,15.0,101325.0,101.325,1.0,1.225004,340.2935,1020.8804,3675.1695,806.82,533.67,3721943.04,3721.943,36.732722,638347.5,638.3475,1.789e-05,1.46065e-05,69892358.96
0.0,4.0,288.15,15.0,101325.0,101.325,1.0,1.225004,340.2935,1361.1739,4900.226,1210.23,937.08,15384703.43,15384.7034,151.835218,1134840.0,1134.84,1.789e-05,1.46065e-05,93189811.95
0.0,5.0,288.15,15.0,101325.0,101.325,1.0,1.225004,340.2935,1701.4674,6125.2825,1728.9,1455.75,53610022.41,53610.0224,529.089784,1773187.5,1773.1875,1.789e-05,1.46065e-05,116487264.93
0.0,6.0,288.15,15.0,101325.0,101.325,1.0,1.225004,340.2935,2041.7608,7350.339,2362.83,2089.68,159979780.2,159979.7802,1578.877673,2553390.0,2553.39,1.789e-05,1.46065e-05,139784717.92
0.0,8.0,288.15,15.0,101325.0,101.325,1.0,1.225004,340.2935,2722.3478,9800.452,3976.47,3703.32,989221199.23,989221.1992,9762.854175,4539360.0,4539.36,1.789e-05,1.46065e-05,186379623.89
0.0,10.0,288.15,15.0,101325.0,101.325,1.0,1.225004,340.2935,3402.9347,12250.565,6051.15,5778.0,4300155335.5,4300155.3355,42439.233511,7092750.0,7092.75,1.789e-05,1.46065e-05,232974529.86
1.0,0.1,281.65,8.5,89874.53,89.8745,0.886993,1.111645,336.4335,33.6433,121.116,282.2133,9.0633,90505.23,90.5052,0.893217,629.12,0.6291,1.758e-05,1.58123e-05,2127672.82
1.0,0.3,281.65,8.5,89874.53,89.8745,0.886993,1.111645,336.4335,100.93,363.3481,286.7197,13.5697,95665.17,95.6652,0.944142,5662.1,5.6621,1.758e-05,1.58123e-05,6383018.47
1.0,0.5,281.65,8.5,89874.53,89.8745,0.886993,1.111645,336.4335,168.2167,605.5802,295.7325,22.5825,106610.3,106.6103,1.052162,15728.04,15.728,1.758e-05,1.58123e-05,10638364.12
1.0,0.7,281.65,8.5,89874.53,89.8745,0.886993,1.111645,336.4335,235.5034,847.8123,309.2517,36.1017,124665.08,124.6651,1.230349,30826.96,30.827,1.758e-05,1.58123e-05,14893709.77
1.0,0.85,281.65,8.5,89874.53,89.8745,0.886993,1.111645,336.4335,285.9684,1029.4864,322.3484,49.1984,144142.46,144.1425,1.422575,45454.04,45.454,1.758e-05,1.58123e-05,18085219.0
